0,6,user,1612369620000,1612715220000,4,212,lijkj,accepted
1,6,user,1612801620000,1613320020000,6,212,some message 2,canceled
2,6,user,1612715220000,1612974420000,3,212,some message 3,declined
3,6,user,1612283580000,1612629180000,4,212,message 4,accepted
4,6,user,1612888740000,1613061540000,2,212,proba,canceled
5,6,ljubica,1613411880000,1613498280000,1,212,reservation,canceled
6,12,user,1612297020000,1612729020000,5,69,...,created
7,12,ljubica,1613506740000,1613765940000,3,69,message,created
8,9,ljubica,1614630060000,1615234860000,7,30,message,created
9,12,ljubica,1611865440000,1611951840000,1,69,blabla,accepted

